0,122,51,51,61
1,121,54,52,58
2,121,54,51,59
3,122,55,51,58
4,121,55,52,60
5,120,56,54,61
6,120,58,53,58
7,122,57,50,58
8,121,56,53,61
9,119,60,53,55
10,119,59,53,58
11,119,59,54,58
12,121,59,50,58
13,119,60,53,57
14,120,58,53,59
15,121,59,50,57
16,120,58,54,59
17,118,60,55,59
18,119,60,53,58
19,119,61,54,58
20,120,61,52,57
21,119,60,53,58
22,121,62,50,57
23,118,62,54,57
24,120,62,51,57
25,120,61,50,58
26,119,64,52,55
27,120,62,50,58
28,118,62,52,58
29,117,63,52,56
30,117,61,52,56
31,115,60,53,56
32,115,58,50,57
33,113,60,50,54
34,110,59,52,54
35,111,56,50,54
36,107,59,51,51
37,106,58,53,52
38,105,58,52,53
39,106,57,52,53
40,108,58,50,52
41,108,57,51,53
42,107,57,55,51
43,108,55,52,52
44,110,55,54,52
45,112,55,51,49
46,112,54,52,52
47,113,54,51,51
48,111,55,55,53
49,114,55,54,54
50,113,56,54,55
51,115,57,51,56
52,114,60,53,55
53,116,60,51,58
54,114,62,52,58
55,116,67,49,55
56,113,68,55,55
57,114,71,52,55
58,115,70,52,58
59,113,75,54,55
60,113,78,52,53
61,115,79,50,55
62,113,79,54,55
63,113,81,53,57
64,115,81,51,57
65,115,83,51,55
66,117,82,51,58
67,117,86,52,53
68,120,85,52,57
69,121,87,50,55
70,123,87,52,56
71,123,87,52,57
72,125,85,52,57
73,127,81,52,61
74,127,81,51,60
75,125,80,53,58
76,124,75,55,62
77,124,74,54,60
78,125,72,50,59
79,122,68,52,63
80,122,69,54,59
81,122,68,53,59
82,123,67,52,58
83,123,66,51,57
84,123,65,52,58
85,123,66,53,59
86,121,65,53,60
87,120,65,55,59
88,123,63,50,60
89,121,63,52,58
90,121,63,51,55
91,118,62,52,56
92,118,59,51,56
93,118,59,51,56
94,112,57,56,57
95,113,58,51,52
96,111,58,51,51
97,110,56,51,50
98,108,56,51,51
99,106,57,52,50
100,105,56,51,50
101,106,56,50,49
102,103,57,53,49
103,102,56,54,47
104,102,56,53,49
105,103,53,51,51
106,104,53,50,49
107,103,53,52,52
108,104,53,51,53
109,105,55,52,52
110,105,56,52,51
111,107,56,51,53
112,105,57,53,51
113,108,56,51,54
114,108,57,53,55
115,112,59,48,54
116,111,60,51,54
117,111,61,51,55
118,111,62,53,56
119,110,63,54,55
120,114,66,51,55
121,110,64,54,58
122,111,65,54,55
123,114,65,52,58
124,113,65,54,58
125,113,67,53,54
126,115,66,51,58
127,113,66,53,60
128,115,66,52,57
129,113,65,53,57
130,113,64,53,59
131,115,65,52,57
132,114,64,53,57
133,113,63,52,61
134,114,64,51,60
135,113,63,54,59
136,115,66,51,57
137,113,65,52,60
138,111,66,55,56
139,111,64,52,60
140,110,64,52,59
141,108,64,58,60
142,105,65,57,56
143,102,63,56,59
144,103,64,56,57
145,101,64,55,57
146,103,65,52,56
147,105,64,51,59
148,101,64,56,58
149,104,65,52,57
150,102,64,55,60
151,103,64,55,59
152,105,65,52,58
153,103,64,56,60
154,103,64,56,60
155,101,64,58,62
156,107,65,51,61
157,103,66,58,61
158,103,66,57,59
159,105,64,54,59
160,106,67,52,56
161,105,66,53,57
162,103,64,58,61
163,106,66,53,59
164,108,65,52,58
165,108,66,51,55
166,104,64,55,60
167,104,66,57,55
168,108,65,50,57
169,109,65,48,58
170,109,64,48,56
171,103,66,55,55
172,103,64,55,56
173,104,64,54,57
174,101,63,55,56
175,104,64,50,53
176,103,62,52,54
177,106,64,48,53
178,104,63,49,52
179,99,62,55,53
180,102,62,49,54
181,102,63,49,53
182,103,64,49,51
183,101,65,50,51
184,101,65,51,50
185,101,65,50,50
186,103,64,48,51
187,103,66,49,51
188,103,66,49,48
189,102,67,50,49
190,102,64,50,52
191,104,66,50,50
192,103,65,51,50
193,106,66,47,50
194,106,67,47,49
195,105,67,49,49
196,106,69,49,47
197,107,70,47,46
198,107,67,48,51
199,108,70,46,48
200,109,70,45,48
201,110,71,44,49
202,110,71,44,48
203,108,72,46,48
204,112,74,44,46
205,110,72,45,47
206,111,74,43,47
207,111,74,44,46
208,111,74,42,47
209,111,76,42,46
210,111,74,43,47
211,110,76,42,44
212,110,75,42,45
213,108,76,45,46
214,107,76,45,45
215,111,75,39,43
216,105,75,49,46
217,106,74,47,45
218,109,74,42,45
219,108,75,43,44
220,109,74,41,45
221,107,73,43,47
222,106,74,44,45
223,108,71,41,48
224,108,74,40,43
225,104,73,48,47
226,106,71,41,46
227,107,72,40,46
228,105,71,40,47
229,104,72,43,45
230,103,72,42,45
231,104,74,43,43
232,105,74,41,43
233,104,73,44,45
234,103,73,48,47
235,105,75,43,44
236,104,75,44,44
237,104,76,44,44
238,105,76,42,44
239,103,75,44,44
240,105,74,43,45
241,105,73,44,46
242,104,74,44,46
243,104,73,45,46
244,106,72,45,49
245,106,73,43,48
246,104,72,46,51
247,104,73,46,51
248,103,74,47,50
249,104,73,46,50
250,101,74,50,49
251,100,72,53,50
252,102,72,48,48
253,101,68,49,51
254,101,67,49,49
255,102,66,48,49
256,102,63,46,51
257,103,62,45,48
258,101,61,49,48
259,102,59,46,49
260,103,57,47,49
261,103,54,47,50
262,102,51,48,52
263,103,49,45,53
264,101,50,48,50
265,101,48,49,50
266,101,47,49,50
267,102,46,47,51
268,101,45,48,48
269,104,44,46,51
270,103,45,45,50
271,100,44,51,51
272,105,45,46,49
273,105,46,48,49
274,103,47,50,49
275,103,49,52,49
276,103,49,53,50
277,107,49,49,52
278,109,49,47,55
279,107,52,52,54
280,110,52,49,55
281,111,52,49,51
282,112,53,49,51
283,112,54,48,52
284,114,54,47,55
285,113,55,50,55
286,112,55,51,50
287,111,56,53,50
288,114,57,49,51
289,117,57,46,52
290,118,57,47,53
291,112,59,53,53
292,118,61,48,53
293,117,62,51,53
294,116,64,53,53
295,119,66,49,51
296,117,65,52,54
297,118,69,50,52
298,118,69,50,53
299,116,73,51,53
300,115,73,52,55
301,117,76,48,51
302,118,77,47,51
303,115,77,50,52
304,117,79,48,51
305,115,78,48,52
306,115,77,48,53
307,114,78,50,53
308,112,77,52,54
309,113,78,49,54
310,114,77,47,55
311,114,77,46,55
312,112,76,50,55
313,113,76,45,55
314,109,76,51,56
315,108,76,50,52
316,108,75,49,55
317,106,72,51,57
318,106,74,48,54
319,103,72,51,57
320,103,71,49,58
321,102,72,48,55
322,97,71,52,55
323,95,71,55,54
324,94,70,54,56
325,93,67,53,58
326,90,67,55,58
327,91,68,50,55
328,90,66,51,58
329,87,65,53,58
330,87,66,52,58
331,86,67,53,56
332,85,65,52,59
333,84,64,52,60
334,82,66,52,55
335,79,64,55,57
336,76,65,58,58
337,77,65,55,59
338,78,65,52,58
339,74,66,56,58
340,73,67,55,56
341,72,66,56,59
342,72,66,55,57
343,69,67,56,56
344,65,65,59,59
345,64,65,58,60
346,65,63,55,61
347,64,67,55,58
348,63,66,54,57
349,61,65,55,58
350,59,65,56,61
351,58,66,56,59
352,55,65,58,61
353,54,65,56,60
354,54,65,56,60
355,51,65,58,62
356,52,65,56,60
357,51,65,56,61
358,52,65,54,60
359,50,63,56,62
360,50,63,58,63
361,53,65,53,60
362,53,62,55,64
363,56,63,49,62
364,55,59,56,67
365,56,58,55,64
366,57,59,56,65
367,57,59,56,65
368,61,57,53,62
369,64,56,50,64
370,62,55,54,62
371,63,52,55,64
372,63,50,56,63
373,65,48,55,64
374,64,47,58,64
